url,slug,title,category,author_handle,date_text,date_iso
https://www.techi.com/deepmind-coding-research-california-london-cluster/,deepmind-coding-research-california-london-cluster,DeepMind's California shift tests London's AI cluster case,AI & Intelligence,zoha,"August 19, 2026 · 7:24 PM EDT",2026-08-19
https://www.techi.com/amd-chip-selloff-input-costs-pricing-power/,amd-chip-selloff-input-costs-pricing-power,"The chip selloff is picking sides, and AMD is on the wrong one",Markets & Equities,umair-aslam,"August 19, 2026 · 4:41 PM EDT",2026-08-19
https://www.techi.com/tesla-cybercab-hardware-gap-fsd-owners/,tesla-cybercab-hardware-gap-fsd-owners,Tesla's robotaxi finally works. Just not on the cars it sold you,Markets & Equities,omer-sheikh,"August 19, 2026 · 4:22 PM EDT",2026-08-19
https://www.techi.com/meta-29-state-trial-advisory-jury-remedy-risk/,meta-29-state-trial-advisory-jury-remedy-risk,The Meta trial's real risk isn't the $1.4 trillion. It's the judge,Policy & Impact,saba,"August 19, 2026 · 4:04 PM EDT",2026-08-19
https://www.techi.com/nvidia-h200-china-shipments-below-licence-ceiling/,nvidia-h200-china-shipments-below-licence-ceiling,"Nvidia's H200s are flowing to China again, at 13% of the legal limit",Policy & Impact,layloma,"August 19, 2026 · 3:07 PM EDT",2026-08-19
https://www.techi.com/samsung-foundry-price-hike-losing-share/,samsung-foundry-price-hike-losing-share,Samsung lost a third of its foundry share. It raised prices anyway,Markets & Equities,fatimah-misbah,"August 19, 2026 · 2:14 PM EDT",2026-08-19
https://www.techi.com/ether-price-first-half-2026/,ether-price-first-half-2026,Reading the ether price after a brutal first half of 2026,Markets & Equities,qaiser,"August 19, 2026 · 1:03 PM EDT",2026-08-19
https://www.techi.com/anthropic-model-2-risk-report-misalignment-estimate/,anthropic-model-2-risk-report-misalignment-estimate,Anthropic’s Model 2 Is Stronger. That Isn’t Why the Risk Label Changed,Policy & Impact,qaiser,"August 14, 2026 · 6:43 PM EDT",2026-08-14
https://www.techi.com/intel-15-billion-stock-offering/,intel-15-billion-stock-offering,Intel Just Asked Investors for $15 Billion. The Timing Is the Whole Story,Markets & Equities,omer-sheikh,"August 10, 2026 · 2:17 PM EDT",2026-08-10
https://www.techi.com/ai-chip-materials-synthesis-bottleneck/,ai-chip-materials-synthesis-bottleneck,AI agents logged 526 chip-material candidates. One recipe passed the screen,Tech Breakthroughs,fatimah-misbah,"August 10, 2026 · 11:41 AM EDT",2026-08-10
https://www.techi.com/kings-cross-ai-talent-cluster-bottleneck/,kings-cross-ai-talent-cluster-bottleneck,King’s Cross reveals AI’s next bottleneck: talent density,AI & Intelligence,zoha,"August 10, 2026 · 4:30 AM EDT",2026-08-10
https://www.techi.com/supernatural-vr-fitness-reboot-3000-workouts/,supernatural-vr-fitness-reboot-3000-workouts,"Supernatural’s VR fitness reboot aims to restore 3,000 workouts",Tech Breakthroughs,saba,"August 9, 2026 · 3:18 PM EDT",2026-08-09
https://www.techi.com/us-sanctions-shelbit-aban-tether-iran-crypto/,us-sanctions-shelbit-aban-tether-iran-crypto,US sanctions two crypto exchanges over Iran-linked money flows,Crypto & DeFi,fatimah-misbah,"August 9, 2026 · 2:17 PM EDT",2026-08-09
https://www.techi.com/ai-camouflage-surveillance-camera-test-proof/,ai-camouflage-surveillance-camera-test-proof,AI camouflage reportedly passed one camera test. Proof is still thin,Tech Breakthroughs,zoha,"August 9, 2026 · 1:11 PM EDT",2026-08-09
https://www.techi.com/claude-code-auto-mode-default-11-percent-miss-rate/,claude-code-auto-mode-default-11-percent-miss-rate,Claude Code will default to auto mode despite an 11% test miss rate,Research Tools & Guides,saba,"August 9, 2026 · 11:54 AM EDT",2026-08-09
https://www.techi.com/x-original-content-rewards-premium-impressions/,x-original-content-rewards-premium-impressions,X will pay for original posts. Only Premium views count,Policy & Impact,fatimah-misbah,"August 9, 2026 · 4:47 AM EDT",2026-08-09
https://www.techi.com/openai-astra-critical-cyber-capability-proof/,openai-astra-critical-cyber-capability-proof,OpenAI's Astra may be 'Critical.' The proof is still private,AI & Intelligence,zoha,"August 9, 2026 · 3:47 AM EDT",2026-08-09
https://www.techi.com/firebird-armenia-ai-factory-300mw-roadmap/,firebird-armenia-ai-factory-300mw-roadmap,Firebird's Armenia AI factory is live. The 300 MW promise is not,Tech Breakthroughs,saba,"August 9, 2026 · 2:27 AM EDT",2026-08-09
https://www.techi.com/meta-ai-email-calendar-agent-permissions/,meta-ai-email-calendar-agent-permissions,What Meta AI’s Email and Calendar Agent Actually Changes,Research Tools & Guides,zoha,"Updated July 27, 2026 · 3:45 AM EDT",2026-07-27
https://www.techi.com/atoms-kalanick-industrial-ai-1-7-billion/,atoms-kalanick-industrial-ai-1-7-billion,"Kalanick's Atoms Raised $1.7B to Own the Machines, Not Sell Them",AI & Intelligence,fatimah-misbah,"Updated July 25, 2026 · 7:01 PM EDT",2026-07-25
